Name
Urban area
Mines and Quarries
NA
Lakes and Dams
Salt Lakes
Irrigated cropping
Irrigated pasture
Irrigated sugar
Rain fed cropping
Rain fed pasture
Rain fed sugar
Wetlands
NA 
NA 
Closed Tussock Grassland
Alpine meadows
Open Hummock Grassland
NA
Open Tussock Grassland
Scattered shrubs and grasses
NA
NA
NA
NA
Dense Shrubland
Open Shrubland
NA
NA
NA
NA
NA
Closed Forest
Open Forest
Open Woodland
Woodland
