"Station","Month","MaxTemp","Rainfall","Humidity","WindSpeed"
"KALUMBURU",1,32.0410557184751,3.49296187683284,59.782991202346,11.7214076246334
"KALUMBURU",2,31.7161290322581,3.27451612903226,60.5258064516129,10.1774193548387
"KALUMBURU",3,31.733137829912,1.5683284457478,57.8211143695015,9.28739002932551
"KALUMBURU",4,31.2636363636364,0.794848484848485,46.8969696969697,10.5090909090909
"KALUMBURU",5,29.1818181818182,0.209677419354839,40.307917888563,12.6539589442815
"KALUMBURU",6,27.630303030303,0.000606060606060606,37.3454545454545,13.2939393939394
"KALUMBURU",7,28.3198924731183,0.0102150537634409,35.0698924731183,12.4220430107527
"KALUMBURU",8,32.7634408602151,0.0126344086021505,32.2204301075269,12.1075268817204
"KALUMBURU",9,36.5361111111111,0.0611111111111111,35.975,11.2472222222222
"KALUMBURU",10,37.9618768328446,0.403519061583578,40.158357771261,11.0205278592375
"KALUMBURU",11,38.1090909090909,0.835757575757576,45.3515151515152,10.5757575757576
"KALUMBURU",12,36.7536656891496,2.50527859237537,53.8973607038123,10.8739002932551
"HALLS CREEK METEOROLOGICAL OFFICE",1,31.2316715542522,3.28973607038123,51.7126099706745,12.6686217008798
"HALLS CREEK METEOROLOGICAL OFFICE",2,30.8451612903226,2.41451612903226,51.1451612903226,11.841935483871
"HALLS CREEK METEOROLOGICAL OFFICE",3,30.6480938416422,1.85102639296188,47.8768328445748,11.2111436950147
"HALLS CREEK METEOROLOGICAL OFFICE",4,29.4424242424242,0.44030303030303,36.6181818181818,12.7969696969697
"HALLS CREEK METEOROLOGICAL OFFICE",5,25.9648093841642,0.210850439882698,36.8357771260997,14.4809384164223
"HALLS CREEK METEOROLOGICAL OFFICE",6,24.0666666666667,0.0127272727272727,35.9757575757576,15.1818181818182
"HALLS CREEK METEOROLOGICAL OFFICE",7,24.3655913978495,0.0876344086021505,34.0322580645161,13.9758064516129
"HALLS CREEK METEOROLOGICAL OFFICE",8,29.3118279569892,0.0338709677419355,25.8655913978495,13.8252688172043
"HALLS CREEK METEOROLOGICAL OFFICE",9,33.725,0.0936111111111111,22.9388888888889,13.3138888888889
"HALLS CREEK METEOROLOGICAL OFFICE",10,36.1290322580645,0.473020527859238,26.1173020527859,12.4604105571848
"HALLS CREEK METEOROLOGICAL OFFICE",11,36.6939393939394,0.96969696969697,33.1969696969697,11.5181818181818
"HALLS CREEK METEOROLOGICAL OFFICE",12,35.6158357771261,2.26656891495601,45.3431085043988,12.0293255131965
"BROOME AIRPORT",1,29.1436950146628,4.55953079178886,73.0909090909091,17.6187683284457
"BROOME AIRPORT",2,29.341935483871,3.08838709677419,71.9290322580645,16.8741935483871
"BROOME AIRPORT",3,30.1495601173021,1.14398826979472,66.8211143695015,14.2316715542522
"BROOME AIRPORT",4,30.0363636363636,0.541212121212121,56.0787878787879,14.2818181818182
"BROOME AIRPORT",5,27.4692082111437,0.364809384164223,48.3724340175953,17.2551319648094
"BROOME AIRPORT",6,25.7030303030303,0.214242424242424,47.8727272727273,19.2727272727273
"BROOME AIRPORT",7,25.4704301075269,0.141397849462366,47.7365591397849,17.3467741935484
"BROOME AIRPORT",8,28.5,0.0645161290322581,47.0725806451613,16.8225806451613
"BROOME AIRPORT",9,30.3472222222222,0.0344444444444444,53.0138888888889,16.4666666666667
"BROOME AIRPORT",10,32.2492668621701,0.108797653958944,61.4046920821114,15.9589442815249
"BROOME AIRPORT",11,32.7363636363636,0.143333333333333,65.2666666666667,16.6484848484848
"BROOME AIRPORT",12,32.6217008797654,1.92346041055718,69.1231671554252,17.6539589442815
"PORT HEDLAND AIRPORT",1,31.7448680351906,1.56862170087977,60.1348973607038,19.7683284457478
"PORT HEDLAND AIRPORT",2,32.2064516129032,1.72193548387097,58.0612903225806,19.1290322580645
"PORT HEDLAND AIRPORT",3,32.5161290322581,3.46217008797654,52.6041055718475,17.7624633431085
"PORT HEDLAND AIRPORT",4,31.1757575757576,0.326969696969697,44.4757575757576,16.8484848484848
"PORT HEDLAND AIRPORT",5,27.1847507331378,0.337243401759531,40.9941348973607,19.1026392961877
"PORT HEDLAND AIRPORT",6,24.5333333333333,0.364242424242424,42.0848484848485,20.8030303030303
"PORT HEDLAND AIRPORT",7,24.5672043010753,0.136827956989247,40.2741935483871,18.7715053763441
"PORT HEDLAND AIRPORT",8,28.3306451612903,0.0185483870967742,38.6962365591398,18.1209677419355
"PORT HEDLAND AIRPORT",9,30.9583333333333,0.0175,39.9861111111111,18.4611111111111
"PORT HEDLAND AIRPORT",10,34.475073313783,0.0234604105571848,42.3049853372434,19.2697947214076
"PORT HEDLAND AIRPORT",11,34.8909090909091,0.0745454545454545,47.9757575757576,20.2515151515152
"PORT HEDLAND AIRPORT",12,35.3049853372434,0.55425219941349,54.1143695014663,20.2961876832845
"MARBLE BAR",1,31.7448680351906,1.56862170087977,60.1348973607038,19.7683284457478
"MARBLE BAR",2,32.2064516129032,1.72193548387097,58.0612903225806,19.1290322580645
"MARBLE BAR",3,32.5161290322581,3.46217008797654,52.6041055718475,17.7624633431085
"MARBLE BAR",4,31.1757575757576,0.326969696969697,44.4757575757576,16.8484848484848
"MARBLE BAR",5,27.1847507331378,0.337243401759531,40.9941348973607,19.1026392961877
"MARBLE BAR",6,24.5333333333333,0.364242424242424,42.0848484848485,20.8030303030303
"MARBLE BAR",7,24.5672043010753,0.136827956989247,40.2741935483871,18.7715053763441
"MARBLE BAR",8,28.3306451612903,0.0185483870967742,38.6962365591398,18.1209677419355
